0, luca, osches 45, lucamaggio@hotmail.com,
1, Jérôme, osche 10, jerome@hotmail.com,
2, hiago, belair 33, hiago@hotmail.com,
6, Keke, oskek 34, keke@mail.com,4,
4, Oskar - vullome, linkedin 23, lokoko@gogo,
5, Pacific - Ocean, neverland 42, paci@ocean.com,
6, Atlantic - Ocean, wilder east 42, oceanetor@feraway.ch,
7, a - e, s, a@s,
8, Luak - Kuak, gigi@kukak.com, gigi.l@lolo.co,
9, Melvyn - You, chemin 34, Mel@h.h,10, Yassin - Bourdebala, LOLO 34 1009, lokoyassin@gm.com,
10, Yassin - Bourdebale, lolo 34, yass@g.com,
11, a - a, aa, aa@aa,
